Task Name,Description,Start Date,Due Date,Priority,Status,Points,Subtasks
Syllabus Review & Course Orientation,"Read the course syllabus, review communication and grading policies, and outline the calendar in ClickUp.

### Checklist:
- [ ] Read the full course syllabus.
- [ ] Read the course introduction lecture transcript.
- [ ] Mark the June 29 final course deadline.",05/25/2026,05/27/2026,Normal,To Do,0,Read course syllabus notes/syllabus.md|Review welcome lecture notes/modules/course_introduction_transcript.md|Set up ClickUp tasks and milestone tracking
Essay One: Columbus Analysis,"Contrast the traditional biography of Christopher Columbus with Abbas Hamdani's thesis on apocalyptic crusader motivations.

### Requirements:
- Length: 2-3 pages, double-spaced.
- Font: Times New Roman, 12pt.
- Value: 50 points.

### Checklist:
- [ ] Read Christopher Columbus Biography (Traditional Narrative).
- [ ] Read 'Columbus and the Recovery of Jerusalem' by Abbas Hamdani.
- [ ] Study the professor's video lecture transcript.
- [ ] Write comparative narrative.
- [ ] Submit on Blackboard.",05/26/2026,05/31/2026,High,To Do,50,Read reading notes/readings/christopher_columbus_biography.md|Read article notes/readings/columbus_and_the_recovery_of_jerusalem.md|Review Columbus lecture notes/assignments/columbus_essay_video_notes.md|Draft comparative analysis|Submit Essay One on Blackboard portal
Book Essay 1: Colonial Settlement (Horn Intro & Ch 1),"Write a book response analyzing James Horn's Introduction & Chapter 1 on Jamestown.

### Requirements:
- Length: 1-2 pages.
- Value: 25 points.

### Checklist:
- [ ] Read Introduction to 1619.
- [ ] Read Chapter 1 (Jamestown).
- [ ] Study Dr. Ross's Colonial Settlement Video Notes.
- [ ] Write response essay.
- [ ] Submit on Blackboard.",05/28/2026,06/02/2026,Normal,To Do,25,Read reading notes/readings/1619/introduction.md|Read reading notes/readings/1619/chapter_01.md|Review video notes/assignments/colonial_settlement_video_notes.md|Draft Jamestown response essay|Submit Book Essay 1 on Blackboard
Book Essay 2: The Great Reforms (Horn Ch 2),"Write a short response analyzing Sir Edwin Sandys's 1619 reforms regarding liberty, property, and governance.

### Requirements:
- Length: 1-2 pages.
- Value: 25 points.

### Checklist:
- [ ] Read Horn Chapter 2 (The Great Reforms).
- [ ] Study Great Reforms Video Notes.
- [ ] Draft response essay.
- [ ] Submit on Blackboard.",06/01/2026,06/06/2026,Normal,To Do,25,Read reading notes/readings/1619/chapter_02.md|Review video notes/assignments/great_reforms_video_notes.md|Draft Edwin Sandys reform response|Submit Book Essay 2 on Blackboard
Book Essay 3: First Africans (Horn Ch 3),"Write a response to Horn's Chapter 3 regarding the arrival of first Africans and early labor conditions.

### Requirements:
- Length: 1-2 pages.
- Value: 25 points.

### Checklist:
- [ ] Read Horn Chapter 3 (First Africans).
- [ ] Study First Africans Video Notes.
- [ ] Draft response essay.
- [ ] Submit on Blackboard.",06/03/2026,06/09/2026,Normal,To Do,25,Read reading notes/readings/1619/chapter_03.md|Review video notes/assignments/first_africans_video_notes.md|Draft First Africans response|Submit Book Essay 3 on Blackboard
Book Essay 4: Commonwealth (Horn Ch 4),"Write a short response to Horn's Chapter 4 regarding the Christian Commonwealth model in early VA.

### Requirements:
- Length: 1-2 pages.
- Value: 25 points.

### Checklist:
- [ ] Read Horn Chapter 4 (Commonwealth).
- [ ] Study Commonwealth Video Notes.
- [ ] Draft response essay.
- [ ] Submit on Blackboard.",06/08/2026,06/12/2026,Normal,To Do,25,Read reading notes/readings/1619/chapter_04.md|Review video notes/assignments/commonwealth_video_notes.md|Draft Christian Commonwealth response|Submit Book Essay 4 on Blackboard
Book Essay 5: Tumult and Liberty (Horn Ch 5),"Write a response to Horn's Chapter 5 regarding the 1622 massacre and the shift in Native relations.

### Requirements:
- Length: 1-2 pages.
- Value: 25 points.

### Checklist:
- [ ] Read Horn Chapter 5 (Tumult and Liberty).
- [ ] Study Tumult & Liberty Video Notes.
- [ ] Draft response essay.
- [ ] Submit on Blackboard.",06/10/2026,06/14/2026,Normal,To Do,25,Read reading notes/readings/1619/chapter_05.md|Review video notes/assignments/tumult_and_liberty_video_notes.md|Draft 1622 Massacre response|Submit Book Essay 5 on Blackboard
Major Essay Two: Voices of the American Revolution,"Write a comparative/contrast narrative using exactly 10 primary source documents (2 from each group A through E).

### Requirements:
- Length: 3-5 pages.
- Font: 12-point font, double-spaced.
- Value: 50 points.

### Checklist:
- [ ] Read 2 documents from Group A (Religious).
- [ ] Read 2 documents from Group B (Loyalist).
- [ ] Read 2 documents from Group C (Rebel).
- [ ] Read 2 documents from Group D (African American).
- [ ] Read 2 documents from Group E (Official/Legal).
- [ ] Study American Revolution Video Notes.
- [ ] Submit on Blackboard.",06/08/2026,06/14/2026,High,To Do,50,Select 10 documents from assignment prompt groups A-E|Review video notes/assignments/american_revolution_video_notes.md|Draft comparative Revolution narrative|Submit Major Essay Two on Blackboard
Book Essay 6: Inequality and Freedom (Horn Ch 6 & Epilogue),"Write a response to Horn's Chapter 6 and Epilogue regarding inequality, freedom, and the legacy of 1619.

### Requirements:
- Length: 1-2 pages.
- Value: 25 points.

### Checklist:
- [ ] Read Horn Chapter 6 (Inequality and Freedom) and Epilogue.
- [ ] Study Inequality & Freedom Video Notes.
- [ ] Draft response essay.
- [ ] Submit on Blackboard.",06/15/2026,06/19/2026,Normal,To Do,25,Read reading notes/readings/1619/chapter_06.md|Read reading notes/readings/1619/epilogue.md|Review video notes/assignments/inequality_and_freedom_video_notes.md|Draft 1619 legacy response|Submit Book Essay 6 on Blackboard
Major Essay Three: Articles vs. Constitution,"Address power distribution, structures, and the missing Bill of Rights in a comparative essay on the Articles and U.S. Constitution.

### Requirements:
- Length: 2-3 pages.
- Font: Times New Roman, 12pt, double-spaced.
- Value: 50 points.

### Checklist:
- [ ] Read Articles of Confederation (1776).
- [ ] Read The U.S. Constitution (1787).
- [ ] Study Articles vs. Constitution Video Notes.
- [ ] Draft essay.
- [ ] Submit on Blackboard.",06/15/2026,06/21/2026,High,To Do,50,"Read source text 'Articles of Confederation, 1776'|Read source text 'Original 1787 U.S. Constitution'|Review video notes/assignments/articles_vs_constitution_video_notes.md|Draft comparative essay|Submit Major Essay Three on Blackboard"
Major Essay Four: Creation of Two Societies,"Compare the Free Labor (North) and Slave Labor (South) systems, economies, and political structures based on Bruce Levine's book.

### Requirements:
- Length: 2-3 pages.
- Font: Times New Roman, 12pt, double-spaced.
- Value: 50 points.

### Checklist:
- [ ] Read Chapters 1 and 2 from Bruce Levine's book.
- [ ] Study Creation of Two Societies Video Notes.
- [ ] Draft comparison essay.
- [ ] Submit on Blackboard.",06/17/2026,06/21/2026,High,To Do,50,Read Bruce Levine's Chapters 1 & 2 PDF|Review video notes/assignments/creation_of_two_societies_video_notes.md|Draft Free Labor vs. Slave Labor analysis|Submit Major Essay Four on Blackboard
Major Essay Five: Debate over Slavery (Proslavery Ideology),"Explain the core beliefs and theological/social justifications of proslavery ideology in the 1830s.

### Requirements:
- Length: 2-3 pages.
- Font: Times New Roman, 12pt, double-spaced.
- Value: 50 points.

### Checklist:
- [ ] Read article by Jack Maddex OR Drew Gilpin Faust.
- [ ] Study Debate over Slavery Video Notes.
- [ ] Draft theological defense analysis.
- [ ] Submit on Blackboard.",06/22/2026,06/26/2026,High,To Do,50,Select and read article (Maddex PDF or Faust PDF)|Review video notes/assignments/debate_over_slavery_video_notes.md|Draft proslavery theology response|Submit Major Essay Five on Blackboard
Major Essay Six: W.E.B. Du Bois on the Civil War,"Evaluate W.E.B. Du Bois's 1935 essay and his 'general strike' thesis regarding the causes/significance of the Civil War.

### Requirements:
- Length: 2-3 pages.
- Font: Times New Roman, 12pt, double-spaced.
- Value: 50 points.

### Checklist:
- [ ] Read W.E.B. Du Bois's essay.
- [ ] Study Civil War Video Notes.
- [ ] Draft historiographical essay.
- [ ] Submit on Blackboard.",06/24/2026,06/29/2026,High,To Do,50,Read W.E.B. Du Bois's source PDF|Review video notes/assignments/civil_war_video_notes.md|Draft general strike analysis|Submit Major Essay Six on Blackboard
